swing,session,channel,parametrisation,n_samples,n_samples_last_250ms,n_samples_last_100ms,converged,on_bound,bound_params,flat,flat_params,simplex_ok,boot_reps,boot_ok_frac,seed,pathological,b0,A,tc,wc,tr,wr,r,ci_b0,ci_A,ci_tc,ci_wc,ci_tr,ci_wr,ci_r,resid_robust_deg,resid_med_abs_deg,loss
2026-06-11_Mark-Liversedge_Wrist_01__swing_0001,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P7,92,33,14,0,1,b0|A|wc|tr,0,,1,100,0,20260812,1,-90,300,-0.311272,0.002,-0.2,0.0646006,0.793239,1.26046,26.8878,0.206925,0.0567987,0.0311624,0.0313638,0.113467,21.8405,19.0344,703.748
2026-06-11_Mark-Liversedge_Wrist_01__swing_0001,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P4,92,33,14,1,0,,0,,1,100,0.97,20260813,1,-10.302,62.5015,-0.701618,0.0888958,-0.104481,0.0158165,1.04104,nan,36.805,nan,nan,0.0378673,0.00806728,0.231319,97.938,106.382,1212.65
2026-06-11_Mark-Liversedge_Wrist_01__swing_0001,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P3,92,33,14,1,0,,0,,1,100,1,20260814,1,-10.302,98.5573,-0.701618,0.0888958,-0.125799,0.0300118,1.07198,nan,nan,nan,nan,0.00316276,0.00245184,0.0333627,100.048,109.397,1241.6
2026-06-11_Mark-Liversedge_Wrist_01__swing_0002,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P7,142,32,14,0,1,b0|wc|wr,0,,0,100,0,20260815,1,-90,225.644,-0.243089,0.002,-0.0324649,0.1,0.480434,0,50.0677,0.0454594,0.00105337,0.11,0.0494924,0.595912,39.4941,49.8344,595.377
2026-06-11_Mark-Liversedge_Wrist_01__swing_0002,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P4,142,32,14,0,1,wr,1,r,1,100,0.45,20260816,1,-10.302,83.0193,-0.701618,0.0888958,0.014291,0.001,0.754737,nan,47.2631,nan,nan,0.00414821,0.0106899,0.415667,44.4193,130.161,1709.39
2026-06-11_Mark-Liversedge_Wrist_01__swing_0002,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P3,142,32,14,0,0,,1,r,1,100,0.31,20260817,1,-10.302,98.5573,-0.701618,0.0888958,0.0185828,0.00133935,0.723153,nan,nan,nan,nan,0.0489702,0.0199198,0.419239,35.2373,131.872,1719.96
2026-06-11_Mark-Liversedge_Wrist_01__swing_0003,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P7,81,30,11,0,1,b0|A|wc,0,,0,100,0,20260818,1,-90,300,-0.234479,0.002,-0.18904,0.0305121,0.572531,1.5374e-06,47.4863,0.00704365,4.07394e-11,0.0906135,0.0433965,0.198398,36.0777,32.1217,455.951
2026-06-11_Mark-Liversedge_Wrist_01__swing_0003,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P4,81,30,11,0,1,A,1,tr|wr|r,1,100,0.12,20260819,1,-10.302,0,-0.701618,0.0888958,-0.0141904,0.0217682,0.884872,nan,18.6934,nan,nan,0.0212814,0.012833,0.236459,141.514,110.145,1366.05
2026-06-11_Mark-Liversedge_Wrist_01__swing_0003,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P3,81,30,11,1,0,,0,,1,100,0.67,20260820,1,-10.302,98.5573,-0.701618,0.0888958,-0.0957615,0.0318581,0.634771,nan,nan,nan,nan,0.11,0.0380369,0.414504,130.27,136.538,1629.45
2026-06-11_Mark-Liversedge_Wrist_01__swing_0004,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P7,147,26,6,0,1,tr,1,r,1,100,0.68,20260821,1,-4.55799,87.0998,-0.693071,0.0804818,0.0198758,0.00198255,0.75048,2.87069,8.71304,0.00935136,0.0166962,0.0127166,0.000889016,0.228073,5.60852,3.63276,58.7351
2026-06-11_Mark-Liversedge_Wrist_01__swing_0004,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P4,147,26,6,0,0,,1,r,1,100,0.91,20260822,1,-10.302,94.0462,-0.701618,0.0888958,0.0174721,0.00150716,0.787078,nan,3.11225,nan,nan,0.00566558,0.00105509,0.244759,5.72821,3.89171,60.3502
2026-06-11_Mark-Liversedge_Wrist_01__swing_0004,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P3,147,26,6,0,1,tr,1,r,1,100,0.56,20260823,1,-10.302,98.5573,-0.701618,0.0888958,0.0198908,0.00117212,0.693878,nan,nan,nan,nan,0.01079,0.000137675,0.106796,6.77325,3.65897,64.0163
2026-06-11_Mark-Liversedge_Wrist_01__swing_0005,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P7,133,25,6,0,0,,1,r,1,100,0.68,20260824,1,-4.7422,90.3405,-0.699344,0.0919292,0.0014354,0.0014918,0.856052,46.8154,57.6005,0.0967686,0.0984959,0.022071,0.00261062,0.36051,6.94756,4.82601,75.2215
2026-06-11_Mark-Liversedge_Wrist_01__swing_0005,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P4,133,25,6,0,0,,1,r,1,100,1,20260825,1,-10.302,96.5908,-0.701618,0.0888958,0.00692286,0.00216367,0.775002,nan,2.81031,nan,nan,0.012441,0.000908681,0.0943344,9.35258,6.76212,78.5661
2026-06-11_Mark-Liversedge_Wrist_01__swing_0005,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P3,133,25,6,0,1,wr,1,r,1,100,0.5,20260826,1,-10.302,98.5573,-0.701618,0.0888958,-0.0016858,0.0010874,0.821582,nan,nan,nan,nan,0.0140399,0.000314218,0.0867406,9.62233,6.60947,79.3511
2026-06-11_Mark-Liversedge_Wrist_01__swing_0006,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P7,142,24,5,0,0,,1,r,1,100,0.85,20260827,1,-1.41777,71.4056,-0.733009,0.0696248,-0.000508005,0.0025869,0.890038,2.04179,5.38368,0.0188402,0.00858427,0.0214087,0.00165401,0.217164,9.47842,6.40891,129.935
2026-06-11_Mark-Liversedge_Wrist_01__swing_0006,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P4,142,24,5,0,0,,1,tr|r,1,100,0.97,20260828,1,-10.302,88.5849,-0.701618,0.0888958,0.0100148,0.00269333,0.703508,nan,5.17254,nan,nan,0.0155998,0.00109566,0.113207,11.8623,9.9353,147.928
2026-06-11_Mark-Liversedge_Wrist_01__swing_0006,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P3,142,24,5,0,0,,1,tr|r,1,100,1,20260829,1,-10.302,98.5573,-0.701618,0.0888958,-0.00175489,0.00111394,0.815762,nan,nan,nan,nan,0.00881481,0.00030095,0.0310185,17.0047,8.04433,159.87
2026-06-11_Mark-Liversedge_Wrist_01__swing_0007,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P7,128,19,0,0,1,tr,0,,0,100,0.01,20260830,1,7.55583,133.641,-1.13886,0.0406694,-0.2,0.0759989,1.32525,61.8181,78.2465,0.210009,0.249,3.81669e-08,0.0204606,0.329912,17.0774,8.66954,138.669
2026-06-11_Mark-Liversedge_Wrist_01__swing_0007,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P4,128,19,0,0,0,,1,tr|wr|r,1,100,0.91,20260831,1,-10.302,174.614,-0.701618,0.0888958,-0.0121483,0.00204129,0.682233,nan,15.154,nan,nan,0.0148443,0.00555366,0.0770772,93.6031,73.8149,972.557
2026-06-11_Mark-Liversedge_Wrist_01__swing_0007,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P3,128,19,0,0,0,,1,tr|wr|r,1,100,0.93,20260832,1,-10.302,98.5573,-0.701618,0.0888958,-0.0120562,0.00120658,0.841318,nan,nan,nan,nan,0.0939719,0.0219478,0.000869454,51.8934,86.3652,1152.96
2026-06-11_Mark-Liversedge_Wrist_01__swing_0008,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P7,138,23,6,0,1,tr|r,1,tr|wr,1,100,0.07,20260833,1,-54.5154,269.45,-0.65273,0.467063,0.0199992,0.0405288,0,28.4026,47.6361,0.136582,0.0863642,0.109981,0.0490095,0.75,3.67716,2.46032,18.8649
2026-06-11_Mark-Liversedge_Wrist_01__swing_0008,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P4,138,23,6,0,0,,1,tr|r,1,100,0.88,20260834,1,-10.302,139.15,-0.701618,0.0888958,0.0178276,0.00161369,0.788279,nan,2.44261,nan,nan,0.0202133,0.000919748,0.111068,33.4353,12.2174,195.117
2026-06-11_Mark-Liversedge_Wrist_01__swing_0008,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P3,138,23,6,0,0,,1,tr|r,1,100,0.89,20260835,1,-10.302,98.5573,-0.701618,0.0888958,0.0188737,0.00112634,0.667836,nan,nan,nan,nan,0.014069,0.000479818,0.0876858,12.4376,39.1903,465.975
2026-06-11_Mark-Liversedge_Wrist_01__swing_0009,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P7,80,32,10,0,1,A|wc|r,0,,0,100,0,20260836,1,-84.2167,300,-0.284411,0.002,-0.153148,0.0938227,1.5,33.8109,150,0.253474,0.146084,0.0714708,0.0422067,0.279942,94.1959,73.6682,1154.08
2026-06-11_Mark-Liversedge_Wrist_01__swing_0009,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P4,80,32,10,0,1,A,1,tr|wr|r,1,100,0,20260837,1,-10.302,0,-0.701618,0.0888958,-0.0162587,0.0176482,0.958655,nan,37.8085,nan,nan,0.0766225,0.0054425,0.275695,171.214,144.652,1613.04
2026-06-11_Mark-Liversedge_Wrist_01__swing_0009,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P3,80,32,10,0,1,r,0,,1,100,0,20260838,1,-10.302,98.5573,-0.701618,0.0888958,-0.172575,0.0234679,1.5,nan,nan,nan,nan,0.00310449,0.00221396,0,159.822,105.449,1615.46
2026-07-03_Mark-Liversedge_Wrist_01__swing_0002,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P7,156,26,5,0,0,,1,r,1,100,0.84,20260839,0,-31.1481,126.245,-0.70848,0.146179,0.00910346,0.00191871,0.811555,4.64714,10.5212,0.0140346,0.0306572,0.00947515,0.00179574,0.275768,7.53832,5.05303,38.1872
2026-07-03_Mark-Liversedge_Wrist_01__swing_0002,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P4,156,26,5,0,0,,1,r,1,100,0.96,20260840,0,-10.302,95.3751,-0.701618,0.0888958,0.00303198,0.00187271,0.815298,nan,1.58981,nan,nan,0.0115653,0.00085738,0.0924104,8.89353,5.70382,69.0779
2026-07-03_Mark-Liversedge_Wrist_01__swing_0002,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P3,156,26,5,0,0,,1,tr|r,1,100,1,20260841,0,-10.302,98.5573,-0.701618,0.0888958,0.0178604,0.00179648,0.740152,nan,nan,nan,nan,0.014069,0.000341272,0.0876858,8.53965,7.37546,71.5006
2026-07-03_Mark-Liversedge_Wrist_01__swing_0003,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P7,135,26,3,0,0,,1,r,1,100,0.62,20260842,0,-21.3264,187.165,-0.492844,0.207445,-0.035328,0.00138478,0.051513,3.70952,13.7225,0.0229939,0.0202072,0.0409571,0.014655,0.435962,5.68703,3.78825,13.1441
2026-07-03_Mark-Liversedge_Wrist_01__swing_0003,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P4,135,26,3,0,0,,1,tr|r,1,100,1,20260843,0,-10.302,109.618,-0.701618,0.0888958,-0.0053131,0.00255506,0.776343,nan,6.32665,nan,nan,0.0160065,0.00141602,0.129002,18.426,13.8088,145.728
2026-07-03_Mark-Liversedge_Wrist_01__swing_0003,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P3,135,26,3,0,0,,1,tr|r,1,100,1,20260844,0,-10.302,98.5573,-0.701618,0.0888958,-0.0120562,0.00120658,0.841318,nan,nan,nan,nan,0,0,0,19.5569,10.6493,161.934
2026-07-03_Mark-Liversedge_Wrist_01__swing_0004,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P7,133,26,4,0,1,r,1,tr|wr,1,100,0.27,20260845,0,-1.75044,89.495,-0.651694,0.0662217,0.0168628,0.0267834,0,1.38226,3.62399,0.0052588,0.00721926,0.00952136,0.013828,0.414359,4.89349,3.47389,28.6267
2026-07-03_Mark-Liversedge_Wrist_01__swing_0004,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P4,133,26,4,0,1,r,1,tr|wr,1,100,0.29,20260846,0,-10.302,96.6147,-0.701618,0.0888958,0.0179051,0.0232466,0,nan,1.40195,nan,nan,0.00346552,0.0135441,0.411022,8.15502,5.50154,39.7489
2026-07-03_Mark-Liversedge_Wrist_01__swing_0004,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P3,133,26,4,0,1,tr|wr,1,r,1,100,0.22,20260847,0,-10.302,98.5573,-0.701618,0.0888958,0.0199809,0.00104042,0.55235,nan,nan,nan,nan,0.0159377,0.0117169,0.420659,9.08245,5.60661,40.8169
2026-07-03_Mark-Liversedge_Wrist_01__swing_0005,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P7,139,33,10,0,1,tr,1,r,1,100,0.63,20260848,0,-19.2022,180.17,-0.51376,0.222639,0.0199536,0.00479232,1.34788,2.71359,9.64809,0.0298155,0.0186055,0.0230228,0.0122604,0.596958,7.05404,4.79151,26.697
2026-07-03_Mark-Liversedge_Wrist_01__swing_0005,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P4,139,33,10,0,1,wr,1,r,1,100,0.75,20260849,0,-10.302,114.57,-0.701618,0.0888958,-0.00757813,0.00102288,0.779174,nan,3.95248,nan,nan,0.0152668,0.00108536,0.125025,12.8114,10.1226,123.936
2026-07-03_Mark-Liversedge_Wrist_01__swing_0005,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P3,139,33,10,0,0,,1,tr|r,1,100,0.79,20260850,0,-10.302,98.5573,-0.701618,0.0888958,0.0187148,0.0014285,0.734952,nan,nan,nan,nan,0.0103434,0.000557466,0.0778178,16.6642,8.05697,166.273
2026-07-03_Mark-Liversedge_Wrist_01__swing_0006,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P7,134,23,1,0,1,r,1,tr|wr,1,100,0.77,20260851,0,-0.229411,89.5965,-0.65751,0.0607498,-0.0131961,0.0393396,0,2.93361,3.66651,0.00780206,0.0108117,0.0431537,0.00363887,0.621085,8.2667,5.60617,29.94
2026-07-03_Mark-Liversedge_Wrist_01__swing_0006,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P4,134,23,1,0,0,,1,tr|r,1,100,1,20260852,0,-10.302,99.3529,-0.701618,0.0888958,0.0196122,0.00260615,0.820625,nan,1.55921,nan,nan,0.0176576,0.00233356,0.104925,8.54389,5.7308,37.9266
2026-07-03_Mark-Liversedge_Wrist_01__swing_0006,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P3,134,23,1,0,0,,1,tr|r,1,100,0.99,20260853,0,-10.302,98.5573,-0.701618,0.0888958,0.0188737,0.00112634,0.667836,nan,nan,nan,nan,0.0154649,4.01176e-05,0.0867406,8.46127,5.84554,38.092
2026-07-03_Mark-Liversedge_Wrist_01__swing_0007,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P7,160,30,7,0,1,wr,1,r,1,100,0.68,20260854,0,-15.8718,158.851,-0.56636,0.164038,-0.0166656,0.00102227,0.674462,1.49126,6.70786,0.0154041,0.0137326,0.02157,0.00243898,0.392223,5.80297,4.02207,16.091
2026-07-03_Mark-Liversedge_Wrist_01__swing_0007,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P4,160,30,7,0,0,,1,tr|r,1,100,0.93,20260855,0,-10.302,116.952,-0.701618,0.0888958,0.0137614,0.00196655,0.645482,nan,3.83619,nan,nan,0.0156813,0.00117008,0.132028,13.2238,9.92557,96.7145
2026-07-03_Mark-Liversedge_Wrist_01__swing_0007,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P3,160,30,7,0,1,wr,1,tr|r,1,100,0.44,20260856,0,-10.302,98.5573,-0.701618,0.0888958,-0.0016858,0.0010874,0.821582,nan,nan,nan,nan,0.00731481,0.000314218,0.0310185,18.8165,5.0255,142.358
2026-07-03_Mark-Liversedge_Wrist_01__swing_0008,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P7,166,30,7,0,1,tr,1,r,1,100,0.59,20260857,0,-21.8545,170.616,-0.602033,0.183424,0.0199078,0.003388,0.458318,2.23163,6.63983,0.0108856,0.0154872,0.030696,0.00166586,0.362599,5.39379,3.68985,13.7805
2026-07-03_Mark-Liversedge_Wrist_01__swing_0008,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P4,166,30,7,0,0,,1,tr|r,1,100,1,20260858,0,-10.302,123.798,-0.701618,0.0888958,0.0115822,0.00212196,0.691599,nan,3.17686,nan,nan,0.012443,0.00150698,0.0626523,13.7378,8.11318,77.7558
2026-07-03_Mark-Liversedge_Wrist_01__swing_0008,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P3,166,30,7,0,1,wr,1,tr|r,1,100,0.43,20260859,0,-10.302,98.5573,-0.701618,0.0888958,-0.0016858,0.0010874,0.821582,nan,nan,nan,nan,0.00518519,5.95884e-05,0.00986796,20.0783,8.20006,168.504
2026-07-03_Mark-Liversedge_Wrist_01__swing_0009,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P7,157,28,7,0,0,,1,r,1,100,0.54,20260860,0,-18.113,155.146,-0.607161,0.159758,-0.000491353,0.00196536,0.56867,2.78172,7.34433,0.0114019,0.0168446,0.0204068,0.00169715,0.434774,6.60731,4.50835,18.5471
2026-07-03_Mark-Liversedge_Wrist_01__swing_0009,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P4,157,28,7,0,0,,1,r,1,100,0.97,20260861,0,-10.302,119.314,-0.701618,0.0888958,0.0125153,0.00287847,0.553481,nan,3.14619,nan,nan,0.0123789,0.00116212,0.141925,14.5035,8.49655,76.9154
2026-07-03_Mark-Liversedge_Wrist_01__swing_0009,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P3,157,28,7,0,1,wr,1,r,1,100,0.38,20260862,0,-10.302,98.5573,-0.701618,0.0888958,-0.0016858,0.0010874,0.821582,nan,nan,nan,nan,0.00731481,0.000314218,0.0310185,21.0167,7.95758,144.565
2026-07-03_Mark-Liversedge_Wrist_01__swing_0010,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P7,128,26,4,0,1,wr|r,1,tr|wr,1,100,0.22,20260863,0,-6.55565,196.126,-0.535561,0.347747,0.00200266,0.1,0,30.695,74.4304,0.0944696,0.143078,0.109981,0.0296635,0.69569,3.21091,2.21589,15.2033
2026-07-03_Mark-Liversedge_Wrist_01__swing_0010,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P4,128,26,4,0,0,,1,r,1,100,0.94,20260864,0,-10.302,135.322,-0.701618,0.0888958,-0.0155666,0.00176443,0.761843,nan,2.97605,nan,nan,0.0250313,0.00170237,0.0331238,24.9408,13.4998,162.019
2026-07-03_Mark-Liversedge_Wrist_01__swing_0010,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P3,128,26,4,0,0,,1,tr|r,1,100,1,20260865,0,-10.302,98.5573,-0.701618,0.0888958,-0.0120562,0.00120658,0.841318,nan,nan,nan,nan,0.0015,0,0,17.1583,36.2086,409.779
2026-07-03_Mark-Liversedge_Wrist_01__swing_0011,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P7,139,29,7,0,0,,1,r,1,100,0.57,20260866,0,-2.30211,134.864,-0.583343,0.129095,-0.00252471,0.00186143,0.501293,11.1889,24.9836,0.020818,0.0562415,0.027085,0.00181463,0.29249,5.96985,4.21961,38.8709
2026-07-03_Mark-Liversedge_Wrist_01__swing_0011,2026-07-03_Mark-Liversedge_Wrist_01,tracker,P4,139,29,7,0,0,,1,tr|r,1,100,0.99,20260867,0,-10.302,119.519,-0.701618,0.0888958,0.015297,0.00209608,0.672533,nan,3.44317,nan,nan,0.0109653,0.00113745,0.120023,15.9119,10.8602,101.994
